refseq_mrna,entrezgene,uniprot_gn,external_gene_name
291,NM_001005248,246694,P59438,Hps5
292,NM_001005341,77864,Q0VA86,Ypel2
293,NM_001005341,77864,Q65Z95,Ypel2
294,NM_001005342,241525,Q0VEE5,Ypel4
295,NM_001005342,241525,Q65Z93,Ypel4
296,NM_001005343,381373,Q64HY3,Sp9
297,NM_001005358,449000,,Zfp960
298,NM_001005370,278240,Q6NVE3,Spin2c
299,NM_001005371,381569,,Gm13084
300,NM_001005385,67298,Q5U4C1,Gprasp1
301,NM_001005419,211488,Q6PDY2,Ado
302,NM_001005420,241289,Q6A025,Ppp1r26
303,NM_001005421,270152,Q80UL9,Jaml
304,NM_001005422,380842,Q6P3A1,Stmnd1
305,NM_001005423,381269,Q6NVG5,Mreg
306,NM_001005424,381353,A2AJA9,Gm996
307,NM_001005425,381405,Q6NXM6,Zfp663
308,NM_001005426,381678,Q6IR42,Zcwpw1
309,NM_001005475,245666,A4GZ26,Iqsec2
310,NM_001005477,104382,Q8VIB5,Barhl2
311,NM_001005481,257889,Q7TRI8,Olfr132
312,NM_001005485,545205,Q7TRK1,Olfr111
313,NM_001005488,257919,Q7TRV2,Olfr467
314,NM_001005506,109658,Q3UD58,Txlna
315,NM_001005506,109658,Q6PAM1,Txlna
316,NM_001005507,226517,Q5RJH6,Smg7
317,NM_001005508,226652,,Arhgap30
318,NM_001005509,229317,Q8BJW6,Eif2a
319,NM_001005510,319565,Q6DFZ2,Syne2
320,NM_001005510,319565,Q6ZWN0,Syne2
321,NM_001005510,319565,Q6ZWQ0,Syne2
322,NM_001005511,381983,,Lmtk3
323,NM_001005520,404222,,Olfr231
324,NM_001005524,433031,,Olfr194
325,NM_001005525,208606,S4R1M5,Rsrc2
326,NM_001005525,208606,Q8BI46,Rsrc2
327,NM_001005525,208606,A2RTL5,Rsrc2
328,NM_001005568,257979,Q7TQY6,Olfr1281
329,NM_001005569,236509,Q7TRY4,Olfr366
330,NM_001005570,194433,,Olfr707
331,NM_001005605,11569,Q9Z248,Aebp2
332,NM_001005608,192897,A2A863,Itgb4
333,NM_001005740,218194,Q2M3X8,Phactr1
334,NM_001005748,218194,Q2M3X8,Phactr1
335,NM_001005767,381038,Q5XJY4,Parl
336,NM_001005784,12695,Q63ZW7,Patj
337,NM_001005784,12695,A2ADL9,Patj
338,NM_001005787,12695,Q63ZW7,Patj
339,NM_001005787,12695,A2ADL9,Patj
340,NM_001005788,381549,,Zfp69
341,NM_001005846,68279,Q8K595,Mcoln2
342,NM_001005847,11593,Q64191,Aga
343,NM_001005847,11593,A2RSS6,Aga
344,NM_001005847,11593,B7ZNK6,Aga
345,NM_001005854,208166,,Gm609
346,NM_001005858,667370,,Ifit3b
347,NM_001005859,68436,Q9D1R9,Rpl34
348,NM_001005859,619547,Q9D1R9,Rpl34
349,NM_001005859,100043876,Q9D1R9,Rpl34
350,NM_001005860,474145,Q5YIR8,Clec4a4
351,NM_001005863,102103,,Mtus1
352,NM_001005864,102103,,Mtus1
353,NM_001005865,102103,,Mtus1
354,NM_001005867,52915,Q8CIE2,Zmiz2
355,NM_001005868,59079,Q80TH2,Erbin
356,NM_001005868,59079,B7ZNX6,Erbin
357,NM_001005868,59079,B2RUJ2,Erbin
358,NM_001005868,59079,B2RUK2,Erbin
359,NM_001005916,474156,Q8CDC7,Zbtb9
360,NM_001006664,13821,A2AUK8,Epb41l1
361,NM_001006664,13821,A2AUK5,Epb41l1
362,NM_001006668,16536,B7ZBV7,Kcnq2
363,NM_001006668,16536,B7ZBV4,Kcnq2
364,NM_001006668,16536,B7ZBV9,Kcnq2
365,NM_001006668,16536,B7ZBV8,Kcnq2
366,NM_001006669,16536,B7ZBV7,Kcnq2
367,NM_001006669,16536,B7ZBV4,Kcnq2
368,NM_001006669,16536,B7ZBV9,Kcnq2
369,NM_001006669,16536,B7ZBV8,Kcnq2
370,NM_001006674,16536,B7ZBV7,Kcnq2
371,NM_001006674,16536,B7ZBV4,Kcnq2
372,NM_001006674,16536,B7ZBV9,Kcnq2
373,NM_001006674,16536,B7ZBV8,Kcnq2
374,NM_001007077,194227,A2A8N2,Gm13023
375,NM_001007077,194227,A6PWA5,Gm13023
376,NM_001007154,74189,Q6KCA9,Phactr3
377,NM_001007154,74189,Q8BYK5,Phactr3
378,NM_001007220,11496,Q9R1V6,Adam22
379,NM_001007220,11496,D6QSS8,Adam22
380,NM_001007221,11496,Q9R1V6,Adam22
381,NM_001007221,11496,D6QSS8,Adam22
382,NM_001007222,399673,,Tdpoz2
383,NM_001007223,403395,Q9EPW4,Clec3a
384,NM_001007223,403395,B2RVD1,Clec3a
385,NM_001007266,209512,Q5QD17,Taar2
386,NM_001007268,27389,Q6B8I0,Dusp13
387,NM_001007268,27389,Q9QYJ7,Dusp13
388,NM_001007268,27389,Q7TNW3,Dusp13
389,NM_001007460,332175,B7ZNY8,Zdhhc23
390,NM_001007460,332175,Q5Y5T3,Zdhhc23
391,NM_001007461,450219,Q5Y4Y6,Gsdma3
392,NM_001007462,382035,Q5XFR0,Pabpn1l
393,NM_001007462,382035,B7ZP52,Pabpn1l
394,NM_001007463,433700,Q3V0Q6,Spag8
395,NM_001007465,67338,Q3UCG9,Rffl
396,NM_001007465,67338,Q148A8,Rffl
397,NM_001007465,67338,Q6ZQM0,Rffl
398,NM_001007465,67338,Q3UD78,Rffl
399,NM_001007472,384452,Q5TIS6,Noto
400,NM_001007567,66432,Q7TPE5,Slc7a6os
401,NM_001007568,71591,Q6PCX8,Zfp251
402,NM_001007568,71591,Q3V362,Zfp251
403,NM_001007569,71691,Q80VM8,Pnmal1
404,NM_001007570,73095,Q8R0Y8,Slc25a42
405,NM_001007571,101966,Q8R1F0,D8Ertd738e
406,NM_001007572,194352,P69744,Trpv5
407,NM_001007573,215090,Q6P1J0,Maneal
408,NM_001007574,231570,D3YUB6,Btbd8
409,NM_001007574,231570,Q3TEG0,Btbd8
410,NM_001007574,100503185,D3YUB6,Btbd8
411,NM_001007574,100503185,Q3TEG0,Btbd8
412,NM_001007575,238693,P16372,Zfp58
413,NM_001007576,245650,Q5SDA5,Gucy2f
414,NM_001007577,245695,Q3US16,Tceanc
415,NM_001007578,278097,Q8K3A6,Armcx6
416,NM_001007579,329986,Q66JY9,BC080695
417,NM_001007580,333564,Q6DFV6,Fndc3c1
418,NM_001007581,381406,Q5U452,Trp53rka
419,NM_001007582,382000,Q9D848,AY761184
420,NM_001007583,382427,Q6H1V1,Best3
421,NM_001007584,432589,Q8C4D8,Gm11541
422,NM_001007589,433693,B1AXD8,Akirin2
423,NM_001007596,104001,Q4FJL2,Rtn1
424,NM_001007596,104001,Q7M6W1,Rtn1
425,NM_001007596,104001,Q8K0T0,Rtn1
426,NM_001008230,224055,Q80ZI2,Rtp2
427,NM_001008231,76441,Q80U19,Daam2
428,NM_001008232,230837,Q5U464,Asap3
429,NM_001008233,231002,B2RTE7,Plekhn1
430,NM_001008233,231002,Q6TDP3,Plekhn1
431,NM_001008233,231002,A0A1W2P7X5,Plekhn1
432,NM_001008233,231002,A0A1W2P6Q7,Plekhn1
433,NM_001008233,231003,B2RTE7,Plekhn1
434,NM_001008233,231003,Q6TDP3,Plekhn1
435,NM_001008233,231003,A0A1W2P7X5,Plekhn1
436,NM_001008233,231003,A0A1W2P6Q7,Plekhn1
437,NM_001008238,12175,O54940,Bnip2
438,NM_001008238,12175,Q91VL0,Bnip2
439,NM_001008238,12175,G5E8U9,Bnip2
440,NM_001008419,213043,Q5SGK3,Aox2
441,NM_001008420,215654,Q5RJH3,Cdh12
442,NM_001008421,217431,Q5RJG1,Nol10
443,NM_001008421,217431,Q3TUB5,Nol10
444,NM_001008422,233208,Q5U4C3,Scaf1
445,NM_001008423,380768,Q3UHB8,Ccdc177
446,NM_001008424,386463,Q7TPC1,Cdsn
447,NM_001008425,386612,Q5U4D9,Thoc6
448,NM_001008426,433365,Q8CC62,Teddm1b
449,NM_001008427,434179,Q6NVD6,Zfp975
450,NM_001008428,434440,Q5U467,Fbxw20
451,NM_001008429,493809,Q5QD16,Taar3
452,NM_001008429,493809,D8KZH8,Taar3
453,NM_001008497,140795,Q544F4,P2ry14
454,NM_001008497,140795,Q9ESG6,P2ry14
455,NM_001008498,71820,A2BE91,Wdr34
456,NM_001008499,209513,Q5QD15,Taar4
457,NM_001008501,240034,,Zfp760
458,NM_001008502,241950,Q5SUD9,Bbs12
459,NM_001008506,75553,Q8BJ05,Zc3h14
460,NM_001008533,11539,Q60612,Adora1
461,NM_001008542,17859,P50540,Mxi1
462,NM_001008542,17859,Q3USD3,Mxi1
463,NM_001008542,17859,Q3U3X2,Mxi1
464,NM_001008543,17859,P50540,Mxi1
465,NM_001008543,17859,Q3USD3,Mxi1
466,NM_001008543,17859,Q3U3X2,Mxi1
467,NM_001008545,230908,Q544R5,Tardbp
468,NM_001008545,230908,Q6VYI5,Tardbp
469,NM_001008545,230908,Q8R0B4,Tardbp
470,NM_001008545,230908,Q8BLD4,Tardbp
471,NM_001008545,230908,Q6VYI4,Tardbp
472,NM_001008545,230908,Q921F2,Tardbp
473,NM_001008546,230908,Q544R5,Tardbp
474,NM_001008546,230908,Q6VYI5,Tardbp
475,NM_001008546,230908,Q8R0B4,Tardbp
476,NM_001008546,230908,Q8BLD4,Tardbp
477,NM_001008546,230908,Q6VYI4,Tardbp
478,NM_001008546,230908,Q921F2,Tardbp
479,NM_001008547,69282,Q80ZR8,1700001J03Rik
480,NM_001008548,207728,Q5PR72,Pde2a
481,NM_001008548,207728,Q3TXZ6,Pde2a
482,NM_001008549,210104,Q5PPQ4,Zfp658
483,NM_001008550,211978,Q5DU37,Zfyve26
484,NM_001008700,16190,P16382,Il4ra
485,NM_001008700,16190,Q3U905,Il4ra
486,NM_001008702,13132,A0A0R4J104,Dab2
487,NM_001008702,13132,Q3TRE6,Dab2
488,NM_001008702,13132,Q9DCE6,Dab2
489,NM_001008705,231889,Q6PGH1,Bud31
490,NM_001008706,494124,Q6W3E0,Calm5
491,NM_001008785,243574,Q3UQV5,Kbtbd8
492,NM_001008791,73750,Q80VW5,Whrn
493,NM_001008792,73750,Q80VW5,Whrn
494,NM_001008793,73750,Q80VW5,Whrn
495,NM_001008973,381107,Q5K6N0,Tmem232
496,NM_001009544,74042,A0A0R4J054,4921501E09Rik
497,NM_001009545,238405,Q6IMH7,Adam6b
498,NM_001009546,381204,Q7M758,Naaladl1
499,NM_001009547,382007,Q6IMH6,Adam26b
500,NM_001009548,384806,Q7M763,Adam20
501,NM_001009549,333473,Q5ISE2,Zfp36l3
502,NM_001009550,381531,Q80YX8,Mup21
503,NM_001009573,70450,B2RUP2,Unc13d
504,NM_001009574,215854,B2RTA0,Taar5
505,NM_001009574,215854,Q5QD14,Taar5
506,NM_001009575,494468,Q3UZB0,Armcx5
507,NM_001009818,52398,A0A0J9YUL3,Sept11
508,NM_001009818,52398,Q8C1B7,Sept11
509,NM_001009819,215493,Q3V1N9,A3galt2
510,NM_001009927,237781,Q5NCS9,Mief2
511,NM_001009929,75770,Q69Z98,Brsk2
512,NM_001009930,75770,Q69Z98,Brsk2
513,NM_001009935,56338,Q8BG60,Txnip
514,NM_001009940,329244,Q8CJ70,Il19
515,NM_001009940,329244,Q14BK1,Il19
516,NM_001009947,75974,A2AF47,Dock11
517,NM_001009948,228777,Q5HZK2,Nrsn2
518,NM_001009949,230125,Q5HZI9,Slc25a51
519,NM_001009950,234788,Q5HZH7,Slc38a8
520,NM_001009951,382010,Q5HZK1,Cep44
521,NM_001009952,494519,J3QK77,Scgb2b20
522,NM_001009978,18573,Q8BRR9,Pde1a
523,NM_001009978,18573,Q9JLL9,Pde1a
524,NM_001009978,18573,Q5I7S8,Pde1a
525,NM_001009979,18573,Q8BRR9,Pde1a
526,NM_001009979,18573,Q9JLL9,Pde1a
527,NM_001009979,18573,Q5I7S8,Pde1a
528,NM_001009981,76775,Q5PT53,Slc10a7
529,NM_001009981,76775,Q5PT52,Slc10a7
530,NM_001010825,231630,Q8BIX9,Ficd
531,NM_001010826,233529,Q5EER8,Kctd14
532,NM_001010827,209517,Q5QD11,Taar7b
533,NM_001010828,215855,Q5QD13,Taar6
534,NM_001010829,215856,Q5QD12,Taar7a
535,NM_001010830,215859,Q5QD07,Taar8a
536,NM_001010831,503558,Q5QD04,Taar9
537,NM_001010833,240087,,Mdc1
538,NM_001010834,241877,Q5PT54,Slc10a5
539,NM_001010835,276742,A6H6B4,Taar7e
540,NM_001010835,276742,Q5QD09,Taar7e
541,NM_001010836,333654,Q5I1X5,Ppp1r13l
542,NM_001010836,333654,Q3TCU2,Ppp1r13l
543,NM_001010837,382348,Q5QD06,Taar8b
544,NM_001010838,435206,Q5QD10,Taar7d
545,NM_001010839,435207,Q5QD08,Taar7f
546,NM_001010840,494546,Q5QD05,Taar8c
