,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene,uniprot_gn,external_gene_name
26030,74340,1680.91284173798,-1.82226996079631,0.406555810611796,19.487037565933,0.00021678851830136698,0.010353143413007,74340,F8WI65,Ahcyl2
26031,74340,1680.91284173798,-1.82226996079631,0.406555810611796,19.487037565933,0.00021678851830136698,0.010353143413007,74340,Q68FL4,Ahcyl2
26032,74340,1680.91284173798,-1.82226996079631,0.406555810611796,19.487037565933,0.00021678851830136698,0.010353143413007,74340,F8WI65,Ahcyl2
26033,74340,1680.91284173798,-1.82226996079631,0.406555810611796,19.487037565933,0.00021678851830136698,0.010353143413007,74340,Q68FL4,Ahcyl2
26034,74340,1680.91284173798,-1.82226996079631,0.406555810611796,19.487037565933,0.00021678851830136698,0.010353143413007,74340,F8WI65,Ahcyl2
26035,74340,1680.91284173798,-1.82226996079631,0.406555810611796,19.487037565933,0.00021678851830136698,0.010353143413007,74340,Q68FL4,Ahcyl2
26505,75425,440.09081131634,-6.49257514238876,1.4340878770632,27.2024682990964,5.339110291957401e-06,0.000505322520450623,75425,Q91V83,Tti1
26807,75939,198.082118742767,-4.43287618703347,1.5733822131258401,17.3657353896866,0.0005942961183098889,0.0220972031704438,75939,,4930579G24Rik
26947,76357,252.284080150101,9.59209385869814,1.7213282027527201,49.7180916386337,9.17353090159837e-11,3.41091536487645e-08,76357,Q9D0C4,Trmt5
26998,76429,125.660156717363,-0.955149050262522,1.9722614003656498,19.7009583519458,0.000195768779215202,0.00952252742510998,76429,Q9D7I5,Lhpp
26999,76429,125.660156717363,-0.955149050262522,1.9722614003656498,19.7009583519458,0.000195768779215202,0.00952252742510998,76429,A0A1B0GR73,Lhpp
27010,76459,1233.01491976623,-1.8335466555841202,1.9501949351066201,19.9999272357371,0.000169748329495183,0.00870566432696725,76459,Q8K2J1,Car12
27011,76459,1233.01491976623,-1.8335466555841202,1.9501949351066201,19.9999272357371,0.000169748329495183,0.00870566432696725,76459,Q8K2J1,Car12
27072,76547,391.90951734764604,12.0098531524294,2.06635629810129,27.812276237288,3.97693090200096e-06,0.00040479621216263904,76547,Q91VP7,Tmem101
27080,76563,416.972542343644,12.354373972541499,1.83868698143823,47.457251326830104,2.7781667309434896e-10,8.76469510177353e-08,76563,Q9CZN8,Qrsl1
27111,76608,506.069094264916,12.067888119575699,1.9119383736638897,38.0455598574741,2.7643906240932102e-08,5.85137202682146e-06,76608,Q3U487,Hectd3
27178,76742,648.358994010605,8.4659909094195,1.03874594229328,61.780804415406706,2.44738330222535e-13,1.3410372399720101e-10,76742,Q3UHD6,Snx27
27179,76742,648.358994010605,8.4659909094195,1.03874594229328,61.780804415406706,2.44738330222535e-13,1.3410372399720101e-10,76742,Q3UHD6,Snx27
27298,76905,1633.13181063344,0.9389619445045351,0.7042143624014241,16.849469414256,0.000758949104168228,0.026967300762782996,76905,Q91XL1,Lrg1
27300,76916,61.3577884635567,-4.66434808690816,1.2925250767753402,15.6780546460743,0.00132000578779015,0.0413933140261545,76916,Q8BUY5,Timmdc1
27495,77519,848.5053075139099,1.3437500347484699,0.835376235280361,16.1131579355595,0.00107498724537946,0.035194000665552,77519,,Zfp266
27496,77519,848.5053075139099,1.3437500347484699,0.835376235280361,16.1131579355595,0.00107498724537946,0.035194000665552,77519,,Zfp266
27968,78896,1591.0646158509198,1.13560903552742,0.986267822689685,53.342323117502005,1.54975086938213e-11,7.3338437732442495e-09,78896,Q99LS0,1500015O10Rik
27978,78913,693.1943901055349,-10.598008219418599,2.522861732938,17.2767030212305,0.000619912858310585,0.022886215488906,78913,Q6A009,Ltn1
28046,79362,15789.2327142525,-0.13916821863204198,0.249541745776207,64.43428102233271,6.62768712566778e-14,4.31255316658296e-11,79362,Q99PV5,Bhlhe41
28047,79362,15789.2327142525,-0.13916821863204198,0.249541745776207,64.43428102233271,6.62768712566778e-14,4.31255316658296e-11,79362,Q6L8F5,Bhlhe41
28048,79362,15789.2327142525,-0.13916821863204198,0.249541745776207,64.43428102233271,6.62768712566778e-14,4.31255316658296e-11,79362,Q99PV5,Bhlhe41
28049,79362,15789.2327142525,-0.13916821863204198,0.249541745776207,64.43428102233271,6.62768712566778e-14,4.31255316658296e-11,79362,Q6L8F5,Bhlhe41
28419,83431,7819.065101973341,0.0822646925177812,0.279492545814541,22.2483255723946,5.79127046150312e-05,0.00372178498609315,83431,Q9ERR1,Ndel1
28543,83964,208.350213984895,-1.1145896881601698,2.07500199191433,45.987528597932396,5.706220094152251e-10,1.65020715000609e-07,83964,Q9D8B7,Jam3
28655,93699,324.028383812927,-7.802396206470981,1.7143741422034198,16.1261543941973,0.00106840953440125,0.0350939072525957,93699,Q91XX8,Pcdhgb1
28781,93878,70.4106603457277,-0.23150231341484603,2.80691797705356,19.3645871336367,0.00022981595869540097,0.0106813122588295,93878,Q8CDY9,Pcdhb7
28857,94184,3884.3025563315796,1.34111528435055,0.27070490168305394,25.784487943543102,1.05814795346263e-05,0.0008933023668300961,94184,A0A0R4J034,Pdxdc1
28858,94184,3884.3025563315796,1.34111528435055,0.27070490168305394,25.784487943543102,1.05814795346263e-05,0.0008933023668300961,94184,A0A0R4J034,Pdxdc1
28859,94184,3884.3025563315796,1.34111528435055,0.27070490168305394,25.784487943543102,1.05814795346263e-05,0.0008933023668300961,94184,A0A0R4J034,Pdxdc1
28861,94186,4285.98552712848,-0.50211675991244,0.27189864171342304,34.8214761617082,1.32877230865838e-07,2.12828438545268e-05,94186,B2RQS1,Strn3
28862,94186,4285.98552712848,-0.50211675991244,0.27189864171342304,34.8214761617082,1.32877230865838e-07,2.12828438545268e-05,94186,Q9ERG2,Strn3
28863,94186,4285.98552712848,-0.50211675991244,0.27189864171342304,34.8214761617082,1.32877230865838e-07,2.12828438545268e-05,94186,B2RQS1,Strn3
