"KO1_MG_C" "KO1_MG_B" "KO1_MG_A" "KO2_MG_C" "KO2_MG_B" "KO2_MG_A" "PBS_MG_B" "PBS_MG_A" "WT_MG_C" "WT_MG_A" "WT_MG_B"
"11484" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11486" 11.2502555236311 10.5602880731605 11.122068260222 10.8905768165593 10.6339161511199 11.015782388523 11.2039988639156 11.1076539221301 11.512962724179 11.595847333089 10.6261027607624
"11487" 11.5125950145113 11.4220392744348 11.9009577218951 11.446900203628 11.8869831622787 12.0983343883983 11.5649247317287 11.8945316829527 11.2103916673235 11.5296474117678 11.4980278028273
"11488" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11489" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.2300100408758 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11490" 12.1695010845831 12.1535266276748 11.9490718928756 12.108037235358 11.8431296910722 11.789973555336 12.1960447000782 12.4132877000754 12.5721405123074 11.7349430684189 11.7973522226191
"11491" 12.3565760136974 12.455878403364 11.6189079964508 12.1682337095545 11.8712419368634 12.2722009788149 12.0712757486035 11.9495336912017 11.9661059813628 11.6361672719808 12.009960925378
"11492" 10.1957385312981 9.88925894188358 10.2024409967807 9.88925894188358 10.1548522045156 10.1469265605883 10.1837617123282 10.1907147766465 9.88925894188358 10.2586668869607 9.88925894188358
"11495" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11496" 10.3219094490868 10.3124558534224 10.3674344521072 10.4413710461743 10.3254791870569 10.3304949606352 10.2812528472055 10.3572417582303 10.2376035145058 10.3144201703834 10.3096051158846
"11497" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11498" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.2231464891987 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11499" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11500" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
