"KO1_EC_C" "KO1_EC_B" "KO1_EC_A" "KO2_EC_C" "KO2_EC_B" "PBS_EC_A" "PBS_EC_B" "PBS_EC_C" "WT_EC_A" "WT_EC_B"
"11419" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11421" 13.2814286544236 14.0118561320066 13.4377373549248 13.2814286544236 13.7892259169793 13.3949462207167 13.4325851657537 13.2814286544236 13.2990298267273 13.6654752172976
"11423" 13.2954465580699 13.3724946785005 13.4554977443508 13.412829690845 13.3878353389676 13.3435325162957 13.3152968813937 13.2814286544236 13.2814286544236 13.4003693474231
"11425" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11426" 13.9903823612392 13.496050119089 13.453882346182 13.2814286544236 13.8132222299347 13.753038961353 13.79860241785 13.6101596986627 13.6380819771211 13.5914480110999
"11428" 13.900173496534 14.0656092017912 14.1540077093222 13.9884451840146 13.668511121808 13.8851457648073 13.8423395995681 13.6912146050555 13.7874485753527 13.9552087210814
"11429" 14.5828280797887 14.6206009253149 14.6891407763135 14.6467638646774 14.3007407155735 14.3827516616478 14.6425437612472 14.4916603303631 14.5869131301594 14.5676513051306
"11430" 14.5515914436641 14.6782845625997 14.6380258601588 14.7537155438795 14.6881028169866 14.7300068096018 14.7122905432444 14.7771224544795 14.4636658446929 14.6838576978645
"11431" 13.8843769531247 13.8857588916851 13.6345712251471 13.643178086366 13.9096012943181 13.7630953486998 13.9001346420661 13.7592908850186 13.8647547043004 13.9035660268103
"11432" 13.4892827995701 13.5867677005543 13.2814286544236 13.5441094432811 13.8662524516215 13.536378919864 13.6686108059645 13.5703208716554 13.6582751776531 13.6177018957179
"11433" 13.2814286544236 13.2814286544236 13.2814286544236 13.4715098099663 13.4550405177907 13.3566821005999 13.3917141960417 13.3919920233819 13.5817172077164 13.4758649509836
"11434" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.3449437030962 13.2987029455729 13.2945295040679 13.2814286544236 13.2814286544236
"11435" 13.3733893613769 13.3674200235687 13.3657484666534 13.3876225744936 13.369054820712 13.3999877366323 13.394896415009 13.3967087671605 13.3854931422374 13.3572009046279
"11438" 13.2814286544236 13.3849848971944 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11440" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
